claim_id,extracted_claim_damage,evidence_sufficiency,visible_issue_type,relevant_object_part,decision,supporting_image_ids,risk_flags,severity_estimate,justification
user_039,A dark oily mark or oil stain on the package.,INSUFFICIENT,,package,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed dark oily mark on the package.
user_040,The package was torn and the contents were missing.,INSUFFICIENT,,package,INSUFFICIENT_INFO,[],['QUALITY_ISSUE'],NONE,No images were provided to visually assess the claimed torn package or missing contents.
user_041,The blue car's front bumper is damaged.,INSUFFICIENT,,Front Bumper,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to assess the claimed damage to the blue car's front bumper.
user_042,A crack on the rear bumper of the car.,INSUFFICIENT,Crack,Rear bumper,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed crack on the rear bumper.
user_043,Damage to a car body panel.,INSUFFICIENT,,Car body panel,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed car body damage.
user_044,Laptop screen is broken.,INSUFFICIENT,,Laptop Screen,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed broken laptop screen.
user_045,The laptop lid is cracked.,INSUFFICIENT,Crack,Laptop Lid,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed crack on the laptop lid.
user_047,Left side door dented.,INSUFFICIENT,Dent,Left side door,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to assess the claimed damage to the left side door.
user_046,Left side mirror is broken.,INSUFFICIENT,,Left side mirror,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed damage to the left side mirror.
user_034,Crushed package/box,INSUFFICIENT,,Box Exterior,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed damage to the package.
user_042,Damage on the rear bumper.,INSUFFICIENT,,Rear Bumper,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed damage to the rear bumper.
user_022,Cracked laptop screen.,INSUFFICIENT,,Laptop Screen,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed cracked laptop screen.
user_016,The black car door is dented.,INSUFFICIENT,,Car Door,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed dent on the black car door.
user_033,The cardboard box corner is crushed.,INSUFFICIENT,Crush,Box Corner,INSUFFICIENT_INFO,[],['NONE'],NONE,No images were provided to visually assess the claimed crushed cardboard box corner.
